[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/js/bootstrap-multitabs/multitabs.min.js
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/js/jquery.cookie.min.js
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/fonts/materialdesignicons-webfont.woff2?v=4.1.95
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/js/Chart.min.js
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/js/index.min.js
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/js/main.min.js
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/js/myutils.js
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/welcome
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/styles.css
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/login
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/images/index-background.jpg
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/favicon.ico
[2024-11-01 18:16:01] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:03] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/achievement
[2024-11-01 18:16:03] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
[2024-11-01 18:16:03] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/css/materialdesignicons.min.css
[2024-11-01 18:16:03] | DEBUG | app.py:print_request_info:51 | 接口请求地址:http://127.0.0.1:8888/static/css/bootstrap.min.css
[2024-11-01 18:16:03] | DEBUG | app.py:print_request_info:58 | 接口请求数据:
